rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
financial-reports, root-financial-indicators:annual-reports;;;;;;;;;;;;0,000240639;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;4,065508335;;;;;;;5,641144625;;;;;;;;;;0;1;0;1;0;1;0;0;0
information-for-shareholders, financial-reports, covered-bonds, information-about-bank:annual-reports, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;40,11981567;38,30078125;;;;;;52,31336406;;;;;;;;68,25742574;;;;;;69,14516129;114,9375;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, covered-bonds, information-about-bank:financial-reports, annual-reports, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;83,91325301;97,07920792;;;;;;183,0967742;;;;;;;;255,3333333;;;;;;;459,75;;;;;;1;1;1;1;1;1;1;0;0
covered-bonds, information-about-bank, root-financial-indicators:annual-reports;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;;;;;;;;4,140625;;;;;;4,952879581;;;;;;;;4,341309824;;;;;;;;;;;;;1;0;1;1;1;1;0;0;0
information-for-shareholders, information-about-bank:annual-reports;;;;;;;;;;;;;;;;;;;;0,000774205;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,902731598;;;;;;;;;1;0;1;1;0;0;1;0;0
financial-reports, financial-statement, information-about-bank, root-financial-indicators:annual-reports;;;0,000137278;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,936970518;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;1;0;1;0
financial-reports, root-financial-indicators:annual-reports, information-about-bank;;;;;;;;;;;;;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;;;;;;;;62,02380952;;;;;;;;;;1;1;1;1;0;1;0;0;0
information-for-shareholders, financial-reports, covered-bonds, annual-reports:information-about-bank;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;3,477184224;3,188617886;;;;;;1,857937807;;;;;;;;;;;;;;2,085623936;1,801175318;;;;;;1;1;1;1;1;0;1;0;0
covered-bonds, information-about-bank:financial-reports;0,00867218;0,008771035;0,006349097;0,006561906;;;;0,007223397;0,011558627;0,005807438;0,005609684;;;;;0,012039455;0,007571863;0,004544727;;;;0,010963378;0,009969186;0,007956879;0,001638124;;;;6,778660671;6,930638546;13,9279384;8,25423856;;;;10,43101748;11,30384792;12,99677861;10,28021157;;;;;9,866912678;6,934962034;6,650024581;;;;8,011809615;11,15487832;6,617485908;7,44356735;;;;1;1;1;0;1;0;0;0;0
information-for-shareholders, annual-reports, financial-statement, information-about-bank:financial-reports;0,000172295;;;;0,000103675;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;7,766280107;;;;15,2137224;;;;11,76998597;;;;;;;;;;;;;8,608433735;;;;;;;1;1;1;1;0;0;1;1;0
information-for-shareholders, financial-reports, covered-bonds, root-financial-indicators:annual-reports;0,000287158;;;;;;;;;;;;;;;0,000290107;;;;;;0,000349895;;;;;;;4,557160804;;;;;;;;;;;;;;;4,341309824;;;;;;5,028739003;;;;;;;0;1;0;1;1;1;1;0;0
information-for-shareholders, financial-reports, root-financial-indicators:annual-reports;;;;;0,000155513;;;;;;;;;;;;;;;;;;;;;0,000112676;;;;;;;3,619324578;;;;;;;;;;;;;;;;;;;;;6,513761468;;;0;1;0;1;0;1;1;0;0
information-for-shareholders, covered-bonds, information-about-bank, root-financial-indicators:annual-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;4,374874372;4,140625;;;;;;4,952879581;;;;;;;;4,341309824;;;;;;;6,57568534;;;;;;1;0;1;1;1;1;1;0;0
financial-reports, financial-statement:information-about-bank;0,005226281;0,004793473;0,001029583;0,00103609;;;;0,001761804;0,002502383;0,001766004;0,00044287;;;;0,0037751;0,005802147;0,003785931;0,000320051;;0,000207182;;0,001516212;0,00353453;0,002669405;;;;;3,803170245;2,938530209;1,446925858;1,856250876;;;;2,322422259;2,203698841;1,740604324;2,169965697;;;;1,672698271;2,384641992;1,628658266;2,402907021;;1,51500763;;1,694569448;1,756145935;1,56950485;;;;;1;1;1;0;0;0;0;1;0
information-for-shareholders, financial-reports, covered-bonds:annual-reports, root-financial-indicators;0,000287158;;;;;;;;;;;;;;;0,000290107;;;;;;0,000349895;;;;;;;33,43317972;;;;;;;;;;;;;;;68,25742574;;;;;;69,14516129;;;;;;;0;1;0;1;1;1;1;0;0
information-for-shareholders, financial-reports, financial-statement, information-about-bank:annual-reports;;;;;;;;;0,000119161;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,6969163;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;0;1;1;0
financial-reports, covered-bonds, financial-statement, information-about-bank:annual-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,341309824;;;;;;;;;;;;;1;1;1;1;1;0;0;1;0
financial-reports, covered-bonds, information-about-bank, root-financial-indicators:annual-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;4,374874372;4,140625;;;;;;4,952879581;;;;;;;;4,341309824;;;;;;5,028739003;6,57568534;;;;;;1;1;1;1;1;1;0;0;0
information-for-shareholders, financial-statement, root-financial-indicators:financial-reports, information-about-bank;;;;;;;;;;;;;;;;;0,00014022;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;49,52546296;;147,3535354;;;;;;;;;;1;1;1;0;0;1;1;1;0
information-for-shareholders, financial-reports, annual-reports, financial-statement:root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;2,955695128;;;;;;;;7,040268456;;;;;;;;;;;;;6,555045872;;;;;;;1;1;0;1;0;1;1;1;0
information-for-shareholders, annual-reports:information-about-bank;;;;;;0,001524232;;;;;;;;;;;;;;0,000774205;;;;;;;;;;;;;;1,533739546;;;;;;;;;;;;;;1,587938035;;;;;;;;;1;0;1;1;0;0;1;0;0
annual-reports, financial-statement, root-financial-indicators:financial-reports, information-about-bank;0,001263496;;0,000137278;;;;;;0,000595806;;;;;;;;;;;;;0,000116632;0,000271887;;;;;;31,65818182;;50,23793103;;;;;;36,04810997;;;;;;;;;;;;;37,9380531;47,76623377;;;;;;1;1;1;1;0;1;0;1;0
covered-bonds, root-financial-indicators, information-about-bank, annual-reports:information-for-shareholders, financial-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;191,3406593;228,0232558;;;;;;420,4444444;;;;;;;;287,25;;;;;;306,2142857;525,4285714;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, financial-reports, financial-statement, information-about-bank:root-financial-indicators;0,000287158;0,000101989;;;;;;;0,000119161;;;;;;0,000240964;;;;;;;0,000233263;;;;;;;2,955695128;4,922188755;;;;;;;7,040268456;;;;;;6,939799331;;;;;;;6,555045872;;;;;;;1;1;1;0;0;1;1;1;0
information-for-shareholders, information-about-bank:root-financial-indicators;0,004020216;;0,002299403;;;;;;;;;;;;;;;;;;;0,002216002;0,001540692;;;;;;2,378145505;;8,127856048;;;;;;;;;;;;;;;;;;;5,66117598;6,472670807;;;;;;1;0;1;0;0;1;1;0;0
information-for-shareholders, annual-reports, root-financial-indicators:information-about-bank;;;;;0,000155513;;;;;;;;;;;;0,000467399;;0,000102824;;;;;0,000410678;;;;;;;;;2,080116455;;;;;;;;;;;;1,524772656;;1,480789727;;;;;1,582919422;;;;;1;0;1;1;0;1;1;0;0
information-for-shareholders, financial-reports, information-about-bank:root-financial-indicators;0,001665518;0,00163182;0,000514792;;;;;0,000968992;;0,000373578;;;;;0,000883534;;;;;;;0,001282948;0,000453145;;;;;;2,52103408;4,375278893;8,73441247;;;;;5,322762148;;7,758335729;;;;;5,872137896;;;;;;;6,555045872;7,614906832;;;;;;1;1;1;0;0;1;1;0;0
information-for-shareholders, financial-statement:financial-reports, information-about-bank;;;;;;;;;;;;;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;;;;;;;;147,3535354;;;;;;;;;;1;1;1;0;0;0;1;1;0
information-for-shareholders, covered-bonds, information-about-bank:root-financial-indicators;0,000287158;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000466527;0,000181258;;;;;;2,955695128;4,922188755;;;;;;5,806649616;;;;;;;;1,5,5152;;;;;;5,244036697;7,614906832;;;;;;1;0;1;0;1;1;1;0;0
information-for-shareholders, covered-bonds, information-about-bank, annual-reports:root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;2,955695128;4,922188755;;;;;;5,806649616;;;;;;;;1,5,5152;;;;;;;7,614906832;;;;;;1;0;1;1;1;1;1;0;0
covered-bonds, financial-statement, annual-reports:information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,384641992;;;;;;;;;;;;;1;0;1;1;1;0;0;1;0
information-for-shareholders, covered-bonds, annual-reports:financial-reports, information-about-bank;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;;;;;;;;;30,35603715;;;;;;44,51764706;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;0;1;0;0
information-for-shareholders, financial-reports, covered-bonds, information-about-bank:annual-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;5,468592965;4,140625;;;;;;4,952879581;;;;;;;;4,341309824;;;;;;5,028739003;6,57568534;;;;;;1;1;1;1;1;0;1;0;0
covered-bonds, financial-statement:financial-reports, annual-reports, information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,69117647;;;;;;;;;;;;;1;1;1;1;1;0;0;1;0
information-for-shareholders, covered-bonds, information-about-bank:annual-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000466527;0,000181258;;;;;;4,374874372;4,140625;;;;;;4,952879581;;;;;;;;4,341309824;;;;;;4,022991202;6,57568534;;;;;;1;0;1;1;1;0;1;0;0
information-for-shareholders, financial-reports, covered-bonds, information-about-bank:root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;2,955695128;4,922188755;;;;;;5,806649616;;;;;;;;1,5,5152;;;;;;6,555045872;7,614906832;;;;;;1;1;1;0;1;1;1;0;0
information-for-shareholders, financial-reports, covered-bonds:information-about-bank, root-financial-indicators;;;;;;;;;;;;;;;;;;;;;;0,000349895;;;;;;;;;;;;;;;;;;;;;;;;;;;;63,51111111;;;;;;;1;1;1;0;1;1;1;0;0
annual-reports, financial-statement, root-financial-indicators:information-for-shareholders, information-about-bank;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;389,7272727;;;;;;;1;0;1;1;0;1;1;1;0
information-for-shareholders, annual-reports:financial-reports, information-about-bank;;;;;;;;;;;;;;;;;;;;0,000730588;;;;;;;;;;;;;;;;;;;;;;;;;;;;104,2160351;;;;;;;;;1;1;1;1;0;0;1;0;0
covered-bonds, annual-reports:financial-reports;0,008614748;0,008567058;0,006280459;0,006561906;;;;0,007135307;0,011320305;0,005773476;0,006052554;;;;;0,012184508;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,008008214;0,001737404;;;;6,772918698;6,921583623;13,49903547;8,052915668;;;;10,30380995;11,40968028;12,85055246;9,958773145;;;;;9,551626311;7,597289868;6,650024581;;;;8,249748996;10,96581258;6,995048719;7,509585685;;;;0;1;0;1;1;0;0;0;0
annual-reports, financial-statement, root-financial-indicators:information-about-bank;0,00137836;0,001121877;0,000137278;0,000431704;0,000103675;;;0,000264271;0,000595806;0,000407539;;0,000144383;;;0,000481928;0,000580215;0,000327179;;;;;0,000116632;0,000271887;0,000205339;;0,000140845;;;4,172621068;2,922899729;1,427633513;2,01093845;2,080116455;;;2,322422259;2,011312434;2,008389605;;1,948059254;;;1,708287596;2,384641992;1,829727187;;;;;2,085623936;1,801175318;1,78078435;;1,686060318;;;1;0;1;1;0;1;0;1;0
covered-bonds, annual-reports, root-financial-indicators, information-for-shareholders, information-about-bank:financial-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;7,766280107;7,333582648;;;;;;11,70309278;;;;;;;;10,46130501;;;;;;8,608433735;11,76332623;;;;;;1;1;1;1;1;1;1;0;0
financial-statement, root-financial-indicators:information-for-shareholders, financial-reports, information-about-bank;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;1535,578947;;;;;;;;;;1;1;1;0;0;1;1;1;0
information-for-shareholders, financial-reports, financial-statement:annual-reports, information-about-bank;;;;;;;;;0,000119161;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,25306122;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;0;1;1;0
covered-bonds, information-about-bank, root-financial-indicators:information-for-shareholders, financial-reports, annual-reports;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;;;;;;;;653,6666667;;;;;;1032;;;;;;;;1149;;;;;;;;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, annual-reports, financial-statement, root-financial-indicators:financial-reports;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;7,766280107;;;;;;;;11,76998597;;;;;;;;;;;;;8,608433735;;;;;;;1;1;0;1;0;1;1;1;0
financial-reports, financial-statement, root-financial-indicators:information-about-bank;0,002469561;0,002141764;0,000137278;0,000431704;0,000103675;;;0,000704722;0,001310772;0,001120734;0,000221435;;;;0,002008032;0,002030751;0,001635896;0,000192031;0,000102824;;;0,000466527;0,001631321;0,000718686;;;;;3,976567064;3,04368071;1,427633513;1,675782041;2,080116455;;;2,322422259;2,212443677;1,949319323;2,531626647;;;;1,708287596;2,384641992;1,778901432;2,402907021;1,480789727;;;2,085623936;1,801175318;1,558186306;;;;;1;1;1;0;0;1;0;1;0
financial-statement, root-financial-indicators:financial-reports;;;;;;;;;;;;;;;;;;0,000192031;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;6,931011535;17,7253949;;;;;;;;;;1;1;0;0;0;1;0;1;0
information-for-shareholders, financial-statement:information-about-bank, root-financial-indicators;;;;;;;;;0,000238322;;;;;;0,000321285;;;;;;;0,000349895;;;;;;;;;;;;;;;69,93333333;;;;;;55,08849558;;;;;;;63,51111111;;;;;;;1;0;1;0;0;1;1;1;0
financial-reports, covered-bonds, root-financial-indicators:information-for-shareholders;;0,000917899;;;;;;0,000616631;;;;;;;0,000160643;0,000290107;;;;;;;0,000271887;;;;;;;5,022481503;;;;;;5,839506173;;;;;;;11,5064695;8,782165605;;;;;;;10,7964775;;;;;;0;1;0;0;1;1;1;0;0
covered-bonds, root-financial-indicators, annual-reports:information-about-bank;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;;0,000181258;;;;;;;3,188617886;;;;;;1,857937807;;;;;;;;;;;;;;;1,801175318;;;;;;1;0;1;1;1;1;0;0;0
information-for-shareholders, root-financial-indicators:information-about-bank;;;;;0,000259188;;;;;;;;;;;;;;0,000137099;;;;;;0,00019856;;;;;;;;1,733430379;;;;;;;;;;;;;;1,480789727;;;;;;2,768120921;;;;1;0;1;0;0;1;1;0;0
information-for-shareholders, annual-reports, financial-statement:financial-reports, information-about-bank;0,000172295;;;;0,000103675;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;35,97520661;;;;77,78629032;;;;43,25773196;;;;;;;;;;;;;37,9380531;;;;;;;1;1;1;1;0;0;1;1;0
financial-reports, covered-bonds:information-about-bank;0,00867218;0,008771035;0,006349097;0,006561906;;;;0,007223397;0,011558627;0,005807438;0,005609684;;;;;0,012039455;0,007571863;0,004544727;;;;0,010963378;0,009969186;0,007956879;0,001638124;;;;4,101990764;3,046901536;1,746773809;2,01093845;;;;2,139759834;2,364815832;1,951333082;2,346385673;;;;;2,356253397;1,829727187;2,402907021;;;;2,042173437;1,753356505;1,735984743;2,537444177;;;;1;1;1;0;1;0;0;0;0
financial-reports, financial-statement, root-financial-indicators:information-for-shareholders, information-about-bank;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;884,1212121;;;;;;;;;;1;1;1;0;0;1;1;1;0
information-for-shareholders, financial-reports, covered-bonds, root-financial-indicators:information-about-bank;;;;;;;;;;;;;;;;;;;;;;0,000349895;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,085623936;;;;;;;1;1;1;0;1;1;1;0;0
financial-reports, covered-bonds, root-financial-indicators, annual-reports:information-for-shareholders, information-about-bank;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;160,1103448;272,3611111;;;;;;313,1586207;;;;;;;;;;;;;;389,7272727;551,7;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, financial-statement:information-about-bank;;;;;;;;;0,000238322;;;;;;0,000321285;0,000725268;;;0,000171374;;;0,000349895;0,000271887;;;;;;;;;;;;;;2,413574921;;;;;;1,708287596;1,98720166;;;1,480789727;;;2,085623936;1,801175318;;;;;;1;0;1;0;0;0;1;1;0
financial-reports, financial-statement, information-about-bank, root-financial-indicators:information-for-shareholders;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,45241144;;;;;;;;;;1;1;1;0;0;1;1;1;0
information-for-shareholders, financial-reports, annual-reports:information-about-bank;;0,001223865;;;;0,001212457;;0,000792812;;;0,00088574;;0,000217155;;0,000562249;;;;0,000377022;0,000730588;0,000267718;0,000583158;;0,000616016;0,000645321;0,000366197;;0,000144915;;2,550894309;;;;1,728361799;;1,900163666;;;2,531626647;;1,226038339;;1,494751647;;;;1,252975923;1,833956604;1,651347788;1,738019946;;1,643800938;2,249098248;1,369924009;;1,824890924;1;1;1;1;0;0;1;0;0
information-for-shareholders, financial-statement:financial-reports;;;;;;;;;;;;;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,7253949;;;;;;;;;;1;1;0;0;0;0;1;1;0
financial-reports, covered-bonds, financial-statement:annual-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,341309824;;;;;;;;;;;;;1;1;0;1;1;0;0;1;0
information-for-shareholders, financial-reports, covered-bonds:annual-reports;0,000287158;;;;;;;;;;;;;;;0,000290107;;;;;;0,000349895;;;;;;;4,557160804;;;;;;;;;;;;;;;4,341309824;;;;;;5,028739003;;;;;;;0;1;0;1;1;0;1;0;0
information-for-shareholders, covered-bonds, annual-reports:information-about-bank;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000466527;;;;;;;;3,188617886;;;;;;1,857937807;;;;;;;;;;;;;;2,085623936;;;;;;;1;0;1;1;1;0;1;0;0
annual-reports, financial-statement, root-financial-indicators:information-for-shareholders;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,923611111;;;;;;;1;0;0;1;0;1;1;1;0
information-for-shareholders, financial-reports, covered-bonds:root-financial-indicators;0,00034459;0,000917899;;;;;;0,000616631;;;;;;;0,000160643;0,000290107;;;;;;0,000349895;0,000271887;;;;;;2,955695128;4,922188755;;;;;;5,806649616;;;;;;;6,939799331;1,5,5152;;;;;;6,555045872;7,614906832;;;;;;0;1;0;0;1;1;1;0;0
covered-bonds, financial-statement, information-about-bank, annual-reports:financial-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,46130501;;;;;;;;;;;;;1;1;1;1;1;0;0;1;0
financial-reports, annual-reports, financial-statement, root-financial-indicators:information-about-bank;0,001263496;0,000917899;0,000137278;0,000259023;;;;0,00017618;0,000595806;0,000305655;;;;;0,000321285;0,000290107;0,00018696;;;;;0,000116632;0,000271887;;;;;;4,34648028;2,869756098;1,784541891;2,01093845;;;;2,322422259;2,413574921;2,008389605;;;;;1,708287596;2,384641992;1,829727187;;;;;2,085623936;1,801175318;;;;;;1;1;1;1;0;1;0;1;0
information-for-shareholders, financial-reports, covered-bonds, annual-reports:information-about-bank, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;27,47455621;33,92733564;;;;;;40,36266667;;;;;;;;;;;;;;63,51111111;78,25531915;;;;;;1;1;1;1;1;1;1;0;0
financial-statement, information-about-bank, root-financial-indicators:information-for-shareholders;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,45241144;;;;;;;;;;1;0;1;0;0;1;1;1;0
annual-reports, financial-statement, root-financial-indicators:information-for-shareholders, financial-reports;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;306,2142857;;;;;;;1;1;0;1;0;1;1;1;0
financial-reports, covered-bonds, root-financial-indicators, annual-reports:information-for-shareholders;0,000287158;0,000611933;;;;;;0,000440451;;;;;;;;0,000290107;;;;;;0,000349895;0,000181258;;;;;;5,485822306;5,580535003;;;;;;6,67372134;;;;;;;;8,782165605;;;;;;9,923611111;10,7964775;;;;;;0;1;0;1;1;1;1;0;0
information-for-shareholders, covered-bonds, annual-reports:root-financial-indicators;0,000402022;0,000611933;;;;;;0,000440451;;;;;;;;;;;;;;;;;;;;;2,955695128;4,922188755;;;;;;5,806649616;;;;;;;;;;;;;;;;;;;;;0;0;0;1;1;1;1;0;0
financial-reports, annual-reports, financial-statement, information-for-shareholders, information-about-bank:root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;2,955695128;;;;;;;;7,040268456;;;;;;;;;;;;;6,555045872;;;;;;;1;1;1;1;0;1;1;1;0
covered-bonds, root-financial-indicators, information-about-bank, annual-reports:financial-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;7,766280107;7,333582648;;;;;;11,70309278;;;;;;;;10,46130501;;;;;;8,608433735;11,76332623;;;;;;1;1;1;1;1;1;0;0;0
information-for-shareholders, annual-reports:financial-reports;;;;;;;;;;;;;;;;;;;;0,000730588;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,438091053;;;;;;;;;0;1;0;1;0;0;1;0;0
information-for-shareholders, financial-reports, annual-reports, root-financial-indicators:information-about-bank;;0,001121877;;;0,000155513;;;0,000704722;;0,00020377;0,000369058;;;;0,000481928;;0,000327179;0,000256041;0,000102824;;;0,000583158;;0,000359343;;0,000112676;;;;2,922899729;;;2,080116455;;;1,857937807;;1,721476804;2,531626647;;;;1,464246511;;1,829727187;2,402907021;1,480789727;;;1,738019946;;1,558186306;;1,686060318;;;1;1;1;1;0;1;1;0;0
